Assembly	Strain
GCA_017570325.1	150735
GCA_017570225.1	G1
GCA_017570125.1	A59
GCA_017570045.1	A291
GCA_009183365.2	CECT-5071
GCA_017580715.1	404
GCA_017580705.1	789
GCA_017580505.1	48086
GCA_017580485.1	38646
GCA_017580455.1	56496
GCA_017580425.1	72638
GCA_017580415.1	72678
GCA_017580395.1	97087
GCA_017580385.1	58400
GCA_017580595.1	20533
GCA_017580635.1	5043
GCA_017580585.1	15259
GCA_017580685.1	526
GCA_017580205.1	A58
GCA_017580185.1	A57
GCA_017580295.1	950570
GCA_017580285.1	6F5
GCA_017580225.1	A41
GCA_017580235.1	A292
GCA_017580215.1	A56
GCA_017580345.1	159418
GCA_017580335.1	590722
GCA_017580325.1	669801
GCA_017580525.1	24987
GCA_017580535.1	50501
GCA_017580565.1	28011
GCA_017580665.1	12945
GCA_017580145.1	A93
GCA_017580125.1	A65
GCA_017580105.1	A94
GCA_017580095.1	A60
GCA_017580085.1	A97
GCA_017580065.1	HUD-G3
GCA_017580025.1	SF7
GCA_017580015.1	HUD-H4
GCA_017580005.1	HUD-I2
GCA_017579985.1	HUD-D8
